Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Acacia_pendula,Weeping Acacia,Acacia Pendula,,,,,,,
https://en.wikipedia.org/wiki/Acacia_redolens,Trailing Acacia,Acacia Redolens,,,,,,,
https://en.wikipedia.org/wiki/Acacia_retinodes,Water Wattle,Acacia Retinodes,,,,,,,
https://en.wikipedia.org/wiki/Acacia_salicina,Willow Acacia,Acacia Salicina,,,,,,,
https://en.wikipedia.org/wiki/Acacia_saligna,Golden Wreath Wattle,Acacia Saligna,,,,,,,
https://en.wikipedia.org/wiki/Acacia_stenophylla,Shoestring Acacia,Acacia Stenophylla,,,,,,,
https://en.wikipedia.org/wiki/Acacia_willardiana,Palo Blanco,Acacia Willardiana,,,,,,,
https://en.wikipedia.org/wiki/Acalypha_hispida,Chenille Plant,Acalypha Hispida,,,,,,,
https://en.wikipedia.org/wiki/Acer_circinatum,Vine Maple,Acer Circinatum,,,,,,,
https://en.wikipedia.org/wiki/Acer_ginnala,Shrub Amur Maple,Acer Ginnala,,,,,,,
https://en.wikipedia.org/wiki/Acer_griseum,Paperbark Maple,Acer Griseum,,,,,,,
https://en.wikipedia.org/wiki/Acer_leucoderme,Chalkbark Maple,Acer Leucoderme,,,,,,,
https://en.wikipedia.org/wiki/Acer_negundo,Box Elder,Acer Negundo,,,,,,,
https://en.wikipedia.org/wiki/Acer_platanoides,Norway Maple,Acer Platanoides,,,,,,,
https://en.wikipedia.org/wiki/Acer_rubrum,Red Maple,Acer Rubrum,,,,,,,
https://en.wikipedia.org/wiki/Acer_saccharinum,Silver Maple,Acer Saccharinum,,,,,,,
https://en.wikipedia.org/wiki/Acer_saccharum,Sugar Maple,Acer Saccharum,,,,,,,
https://en.wikipedia.org/wiki/Achillea_clavennae,Silvery Yarrow,Achillea Clavennae,,,,,,,
https://en.wikipedia.org/wiki/Achillea_millefolium,Yarrow,Achillea Millefolium,,,,,,,
https://en.wikipedia.org/wiki/Achnatherum_calamagrostis,Silver Spike Grass,Achnatherum Calamagrostis,,,,,,,
https://en.wikipedia.org/wiki/Acorus_gramineus,Sweet Flag Grass,Acorus Gramineus,,,,,,,
https://en.wikipedia.org/wiki/Actinidia_arguta,Male and Female Kiwi,Actinidia Arguta,,,,,,,
https://en.wikipedia.org/wiki/Adenium_obesum,Desert Rose,Adenium Obesum,,,,,,,
https://en.wikipedia.org/wiki/Adiantum_aleuticum,Western Maidenhair Fern,Adiantum Aleuticum,,,,,,,
https://en.wikipedia.org/wiki/Adiantum_capillus-veneris,Southern Maiden Hair Fern,Adiantum Capillus-veneris,,,,,,,
https://en.wikipedia.org/wiki/Adiantum_hispidulum,Rough Maidenhair Fern,Adiantum Hispidulum,,,,,,,
https://en.wikipedia.org/wiki/Aegopodium_podagraria,Goutweed,Aegopodium Podagraria,,,,,,,
https://en.wikipedia.org/wiki/Agapanthus_africanus,Lily Of The Nile,Agapanthus Africanus,,,,,,,
https://en.wikipedia.org/wiki/Agastache_foeniculum,Anise Hyssop,Agastache Foeniculum,,,,,,,
https://en.wikipedia.org/wiki/Agastache_rupestris,Rock Anise Hyssop,Agastache Rupestris,,,,,,,
https://en.wikipedia.org/wiki/Agave_americana,Century Plant,Agave Americana,,,,,,,
https://en.wikipedia.org/wiki/Agave_angustifolia,Caribbean Agave,Agave Angustifolia,,,,,,,
https://en.wikipedia.org/wiki/Agave_attenuata,Dragon Tree Agave,Agave Attenuata,,,,,,,
https://en.wikipedia.org/wiki/Agave_chrysantha,Golden-Flowered Agave,Agave Chrysantha,,,,,,,
https://en.wikipedia.org/wiki/Agave_desmettiana,Soft Agave,Agave Desmettiana,,,,,,,
https://en.wikipedia.org/wiki/Agave_murpheyi,Murphy's Agave,Agave Murpheyi,,,,,,,
https://en.wikipedia.org/wiki/Agave_schottii,Schott's Agave,Agave Schottii,,,,,,,
https://en.wikipedia.org/wiki/Agave_sisalana,Sisal Agave,Agave Sisalana,,,,,,,
https://en.wikipedia.org/wiki/Agave_tequilana,Blue Agave,Agave Tequilana,,,,,,,
https://en.wikipedia.org/wiki/Agave_weberi,Weber's Agave,Agave Weberi,,,,,,,
https://en.wikipedia.org/wiki/Ageratum_houstonianum,Ageratum,Ageratum Houstonianum,,,,,,,
