Plantname,Category,Unit,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Wiki link,Evidence (Source text/Sentence)
Cynodon_dactylon,Grass (Lawn),in,0.39,11.81,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cynodon_dactylon,The erect stem can grow 1–30 cm ( 0.39–11.81 in ) tall .
Cynodon_dactylon,Grass (Lawn),cm,1.0,30.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cynodon_dactylon,The erect stem can grow 1–30 cm ( 0.39–11.81 in ) tall .
Cyrtomium_falcatum,Fern,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Cyrtomium_falcatum,x
Echinacea_paradoxa,Perennial,cm,140.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Echinacea_paradoxa,"== Description == Echinacea specie are herbaceous , drought-tolerant perennial plant growing up to 140 cm or 4 foot , in height ."
Echinacea_paradoxa,Perennial,ft,4.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Echinacea_paradoxa,"== Description == Echinacea specie are herbaceous , drought-tolerant perennial plant growing up to 140 cm or 4 foot , in height ."
Echinacea_purpurea,Perennial,in,10.0,47.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Echinacea_purpurea,== Description == Echinacea purpurea is an herbaceous perennial up to 120 cm ( 47 in ) tall by 25 cm ( 10 in ) wide at maturity .
Echinacea_purpurea,Perennial,cm,25.0,120.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Echinacea_purpurea,== Description == Echinacea purpurea is an herbaceous perennial up to 120 cm ( 47 in ) tall by 25 cm ( 10 in ) wide at maturity .
Euonymus_fortunei,Ground Cover,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Euonymus_fortunei,x
Eupatorium_hyssopifolium,Perennial,m,0.5,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Eupatorium_hyssopifolium,"At 0.5 to one meter ( 20-40 inch ) tall , it is towards the shorter end of the range of height found in Eupatorium species.Plants which are classified a E. hyssopifolium can be either diploid or polyploid , and some of them seem to have been the result of past hybridization with Eupatorium serotinum ."
Eupatorium_hyssopifolium,Perennial,m,0.5,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Eupatorium_hyssopifolium,"At 0.5 to one meter ( 20-40 inch ) tall , it is towards the shorter end of the range of height found in Eupatorium species.Plants which are classified a E. hyssopifolium can be either diploid or polyploid , and some of them seem to have been the result of past hybridization with Eupatorium serotinum ."
Eupatorium_perfoliatum,Perennial,cm,100.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Eupatorium_perfoliatum,"== Description == Eupatorium perfoliatum grows up to 100 cm ( 39 inch ) tall , with leaf that clasp the stem ."
Euphorbia_myrsinites,Perennial,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Euphorbia_myrsinites,x
Fatsia_japonica,Shrub,in,10.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Fatsia_japonica,"== Description == It is an evergreen shrub growing to 1–3 m ( 3 ft 3 in–9 ft 10 in ) tall , with stout , sparsely branched stem ."
Fatsia_japonica,Shrub,ft,3.0,9.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Fatsia_japonica,"== Description == It is an evergreen shrub growing to 1–3 m ( 3 ft 3 in–9 ft 10 in ) tall , with stout , sparsely branched stem ."
Fatsia_japonica,Shrub,m,1.0,3.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Fatsia_japonica,"== Description == It is an evergreen shrub growing to 1–3 m ( 3 ft 3 in–9 ft 10 in ) tall , with stout , sparsely branched stem ."
Fatsia_japonica,Shrub,ft,8.2,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Fatsia_japonica,"Slower growing than the original specie , it reach a lower maximum height of 2.5 m ( 8.2 ft ) at maturity ."
Fatsia_japonica,Shrub,m,2.5,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Fatsia_japonica,"Slower growing than the original specie , it reach a lower maximum height of 2.5 m ( 8.2 ft ) at maturity ."
Ficus_lyrata,House Plant,ft,39.0,49.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Ficus_lyrata,It can grow up to 12–15 m ( 39–49 ft ) tall .
Ficus_lyrata,House Plant,m,12.0,15.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Ficus_lyrata,It can grow up to 12–15 m ( 39–49 ft ) tall .
Gaura_lindheimeri,Perennial,cm,50.0,150.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Gaura_lindheimeri,"== Description == Oenothera lindheimeri is a perennial herbaceous plant growing to 50–150 cm tall , with densely clustered branched stem growing from an underground rhizome ."
Hesperaloe_funifera,Shrub,cm,250.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hesperaloe_funifera,"Flowering stalk can be up to 250 cm tall , with long branch ."
Hesperaloe_parviflora,Shrub,ft,5.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hesperaloe_parviflora,Red or yellow tubular flower are borne on branching flower stalk ( inflorescence ) up to 5 ft ( 1.5 m ) tall from late spring to mid-summer.This specie ha become popular in xeriscape landscape design for public and private garden in California and the Southwestern United States .
Hesperaloe_parviflora,Shrub,m,1.5,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hesperaloe_parviflora,Red or yellow tubular flower are borne on branching flower stalk ( inflorescence ) up to 5 ft ( 1.5 m ) tall from late spring to mid-summer.This specie ha become popular in xeriscape landscape design for public and private garden in California and the Southwestern United States .
Hibiscus_coccineus,Perennial,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hibiscus_coccineus,x
Hibiscus_syriacus,Shrub,ft,7.0,13.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hibiscus_syriacus,"It is upright and vase-shaped , reaching 2–4 m ( 7–13 ft ) in height , bearing large trumpet-shaped flower with prominent yellow-tipped white stamen ."
Hibiscus_syriacus,Shrub,m,2.0,4.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hibiscus_syriacus,"It is upright and vase-shaped , reaching 2–4 m ( 7–13 ft ) in height , bearing large trumpet-shaped flower with prominent yellow-tipped white stamen ."
Hydrangea_macrophylla,Shrub,ft,7.0,8.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Hydrangea_macrophylla,It is a deciduous shrub growing to 2 m ( 7 ft ) tall by 2.5 m ( 8 ft ) broad with large head of pink or blue flower in summer and autumn .
