Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Solidago_sempervirens,Seaside Goldenrod,Solidago Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Sollya_heterophylla,Austrian Bluebell Creeper,Sollya Heterophylla,,,,,,,
https://en.wikipedia.org/wiki/Sorbaria_sorbifolia,False Spirea,Sorbaria Sorbifolia,,,,,,,
https://en.wikipedia.org/wiki/Sorbus_aucuparia,European Mountain Ash,Sorbus Aucuparia,,,,,,,
https://en.wikipedia.org/wiki/Sorbus_decora,Showy Mountain Ash,Sorbus Decora,,,,,,,
https://en.wikipedia.org/wiki/Sparaxis_tricolor,Harlequin Flower,Sparaxis Tricolor,,,,,,,
https://en.wikipedia.org/wiki/Spartina_bakeri,Cord Grass,Spartina Bakeri,,,,,,,
https://en.wikipedia.org/wiki/Spartium_junceum,Spanish Broom,Spartium Junceum,,,,,,,
https://en.wikipedia.org/wiki/Spathodea_campanulata,African Tulip Tree,Spathodea Campanulata,,,,,,,
https://en.wikipedia.org/wiki/Spathoglottis_plicata,Ground Orchid,Spathoglottis Plicata,,,,,,,
https://en.wikipedia.org/wiki/Sphaeralcea_ambigua,Globe Mallow,Sphaeralcea Ambigua,,,,,,,
https://en.wikipedia.org/wiki/Spilanthes_oleracea,Peek-A-Boo Plant,Spilanthes Oleracea,,,,,,,
https://en.wikipedia.org/wiki/Spinacia_oleracea,Spinach,Spinacia Oleracea,,,,,,,
https://en.wikipedia.org/wiki/Spiraea_albiflora,Japanese White Spirea,Spiraea Albiflora,,,,,,,
https://en.wikipedia.org/wiki/Spiraea_japonica,Japanese Spirea,Spiraea Japonica,,,,,,,
https://en.wikipedia.org/wiki/Spiraea_japonica,Japanese Spiraea,Spiraea Japonica var. fortunei,,,,,,,
https://en.wikipedia.org/wiki/Spiraea_thunbergii,Baby's Breath Spirea,Spiraea Thunbergii,,,,,,,
https://en.wikipedia.org/wiki/Stachytarpheta_jamaicensis,Porterweed,Stachytarpheta Jamaicensis,,,,,,,
https://en.wikipedia.org/wiki/Stevia_rebaudiana,Stevia,Stevia Rebaudiana,,,,,,,
https://en.wikipedia.org/wiki/Stipa_barbata,Feather Grass,Stipa Barbata,,,,,,,
https://en.wikipedia.org/wiki/Stokesia_laevis,Stokes Aster,Stokesia Laevis,,,,,,,
https://en.wikipedia.org/wiki/Strelitzia_nicolai,White Bird of Paradise,Strelitzia Nicolai,,,,,,,
https://en.wikipedia.org/wiki/Strelitzia_reginae,Orange Bird of Paradise,Strelitzia Reginae,,,,,,,
https://en.wikipedia.org/wiki/Streptosolen_jamesonii,Marmalade Bush,Streptosolen Jamesonii,,,,,,,
https://en.wikipedia.org/wiki/Syagrus_romanzoffiana,Queen Palm,Syagrus Romanzoffiana,,,,,,,
https://en.wikipedia.org/wiki/Symphoricarpos_albus,Snowberry,Symphoricarpos Albus,,,,,,,
https://en.wikipedia.org/wiki/Synsepalum_dulcificum,Miracle Fruit,Synsepalum Dulcificum,,,,,,,
https://en.wikipedia.org/wiki/Syringa_josikaea,Hungarian Lilac,Syringa Josikaea,,,,,,,
https://en.wikipedia.org/wiki/Syringa_meyeri,Korean Lilac,Syringa Meyeri,,,,,,,
https://en.wikipedia.org/wiki/Syringa_pekinensis,Peking Lilac,Syringa Pekinensis,,,,,,,
https://en.wikipedia.org/wiki/Syringa_reticulata,Japanese Lilac Tree,Syringa Reticulata,,,,,,,
