Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Clematis_armandii,Evergreen Clematis,Clematis Armandii,,,,,,,
https://en.wikipedia.org/wiki/Clerodendrum_quadriloculare,Clerodendrum,Clerodendrum Quadriloculare,,,,,,,
https://en.wikipedia.org/wiki/Clerodendrum_speciosissimum,Mary Jane Vine,Clerodendrum Speciosissimum,,,,,,,
https://en.wikipedia.org/wiki/Clerodendrum_thomsoniae,Bleeding Heart Vine,Clerodendrum Thomsoniae,,,,,,,
https://en.wikipedia.org/wiki/Clethra_alnifolia,White Summersweet,Clethra Alnifolia,,,,,,,
https://en.wikipedia.org/wiki/Clusia_rosea,Autograph Plant,Clusia Rosea,,,,,,,
https://en.wikipedia.org/wiki/Coccoloba_uvifera,Sea Grape,Coccoloba Uvifera,,,,,,,
https://en.wikipedia.org/wiki/Cocos_nucifera,Coconut Palm,Cocos Nucifera,,,,,,,
https://en.wikipedia.org/wiki/Codiaeum_variegatum,Croton,Codiaeum Variegatum,,,,,,,
https://en.wikipedia.org/wiki/Colocasia_esculenta,Elephant Ear,Colocasia Esculenta,,,,,,,
https://en.wikipedia.org/wiki/Conocarpus_erectus,Silver Buttonwood,Conocarpus Erectus,,,,,,,
https://en.wikipedia.org/wiki/Conoclinium_greggii,Gregg's Mistflower,Conoclinium Greggii,,,,,,,
https://en.wikipedia.org/wiki/Convallaria_majalis,Lily of the Valley,Convallaria Majalis,,,,,,,
https://en.wikipedia.org/wiki/Coprosma_repens,Mirror Plant,Coprosma Repens,,,,,,,
https://en.wikipedia.org/wiki/Cordia_boissieri,Texas Olive,Cordia Boissieri,,,,,,,
https://en.wikipedia.org/wiki/Cordia_parvifolia,Little-Leaf Cordia,Cordia Parvifolia,,,,,,,
https://en.wikipedia.org/wiki/Cordia_sebestena,Geiger Tree,Cordia Sebestena,,,,,,,
https://en.wikipedia.org/wiki/Cornus_alternifolia,Pagoda Dogwood,Cornus Alternifolia,,,,,,,
https://en.wikipedia.org/wiki/Cornus_canadensis,Bunchberry,Cornus Canadensis,,,,,,,
https://en.wikipedia.org/wiki/Cornus_florida,White Dogwood,Cornus Florida,,,,,,,
https://en.wikipedia.org/wiki/Cornus_kousa,Kousa Dogwood,Cornus Kousa,,,,,,,
https://en.wikipedia.org/wiki/Cornus_racemosa,Gray Dogwood,Cornus Racemosa,,,,,,,
https://en.wikipedia.org/wiki/Cortaderia_selloana,White Pampas Grass,Cortaderia Selloana,,,,,,,
https://en.wikipedia.org/wiki/Corylus_americana,Hazelnut,Corylus Americana,,,,,,,
https://en.wikipedia.org/wiki/Corynephorus_canescens,Grey Hair Grass,Corynephorus Canescens,,,,,,,
https://en.wikipedia.org/wiki/Cosmos_bipinnatus,Cosmos,Cosmos Bipinnatus,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_acutifolius,Peking Cotoneaster,Cotoneaster Acutifolius,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_apiculatus,Cranberry Cotoneaster,Cotoneaster Apiculatus,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_dammeri,Bearberry Cotoneaster,Cotoneaster Dammeri,,,,,,,
