Wiki link,common name,botanical name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
,Serbian Spruce,Picea Omorika,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Picea+Omorika,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285034&isprofile=1&basic=Picea+Omorika,
,Colorado Spruce,Picea Pungens,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Picea+Pungens,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284991&isprofile=1&basic=Picea+Pungens,
,Sitka Spruce,Picea Sitchensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Picea+Sitchensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284991&isprofile=1&basic=Picea+Pungens,
,Japanese Pieris,Pieris Japonica,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pieris+Japonica,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280045&isprofile=1&basic=Pieris+Japonica,
,Bristlecone Pine,Pinus Aristata,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Aristata,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280045&isprofile=1&basic=Pieris+Japonica,
,Shore Pine,Pinus Contorta var. contorta,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Contorta+var.+contorta,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280045&isprofile=1&basic=Pieris+Japonica,
,Bosnian Pine,Pinus Leucodermis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Leucodermis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285051&isprofile=1&basic=Bosnian+Pine,
,Western White Pine,Pinus Monticola,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Monticola,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=265567&isprofile=1&basic=Western+White+Pine,
,Austrian Black Pine,Pinus Nigra,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Nigra,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284999&isprofile=1&basic=Pinus+Nigra,
,Western Yellow Pine,Pinus Ponderosa,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Ponderosa,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285000&isprofile=1&basic=Pinus+Ponderosa,
,Southwestern White Pine,Pinus Strobiformis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Strobiformis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=265567&isprofile=1&basic=Pinus+Strobiformis,
,Eastern White Pine,Pinus Strobus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Strobus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285004&isprofile=1&basic=Pinus+Strobus,
,Scotch Pine,Pinus Sylvestris,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Sylvestris,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285005&isprofile=1&basic=Pinus+Sylvestris,
,Loblolly Pine,Pinus Taeda,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pinus+Taeda,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285006&isprofile=1&basic=Pinus+Taeda,
,Chinese Pistache,Pistacia Chinensis,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Pistacia+Chinensis,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275957&isprofile=1&basic=Pistacia+Chinensis,
