Botanical Name,Page Name,Category,Wikilink,,
Schlumbergera Truncata,Schlumbergera_truncata,House Plant,https://en.wikipedia.org/wiki/Schlumbergera_truncata,,
Scutellaria Ovata,Scutellaria_ovata,Perennial,https://en.wikipedia.org/wiki/Scutellaria_ovata,,
Sedum Mexicanum,Sedum_mexicanum,Cacti/Succulent,https://en.wikipedia.org/wiki/Sedum_mexicanum,,
Sophora Affinis,NILL,,NILL,,
Sophora Secundiflora,NILL,,NILL,,
Sorghastrum Nutans,Sorghastrum_nutans,Grass (Ornamental),https://en.wikipedia.org/wiki/Sorghastrum_nutans,,
Spathiphyllum Cochlearispathum,Spathiphyllum_cochlearispathum,House Plant,https://en.wikipedia.org/wiki/Spathiphyllum_cochlearispathum,,
Spiraea Bumalda,Spiraea_japonica,Shrub,https://en.wikipedia.org/wiki/Spiraea_japonica,,
Spiraea Prunifolia,Spiraea_prunifolia,Shrub,https://en.wikipedia.org/wiki/Spiraea_prunifolia,,
Stachys Byzantina,Stachys_byzantina,Perennial,https://en.wikipedia.org/wiki/Stachys_byzantina,,
Stenotaphrum Secundatum,St._Augustine_grass,Grass (Lawn),https://en.wikipedia.org/wiki/St._Augustine_grass,,
Symphyotrichum Oblongifolium,Symphyotrichum_oblongifolium,Perennial,https://en.wikipedia.org/wiki/Symphyotrichum_oblongifolium,,
Tabernaemontana Divaricata,Tabernaemontana_divaricata,Shrub,https://en.wikipedia.org/wiki/Tabernaemontana_divaricata,,
Teucrium Fruticans,Teucrium_fruticans,Shrub,https://en.wikipedia.org/wiki/Teucrium_fruticans,,
Thelypteris Kunthii,Thelypteris_kunthii,Fern,https://en.wikipedia.org/wiki/Thelypteris_kunthii,,
Triticum Aestivum,Common_wheat,Grass (Ornamental),https://en.wikipedia.org/wiki/Common_wheat,,
Tulbaghia Violacea,Tulbaghia_violacea,Perennial,https://en.wikipedia.org/wiki/Tulbaghia_violacea,,
Ulmus Crassifolia,Ulmus_crassifolia,Tree,https://en.wikipedia.org/wiki/Ulmus_crassifolia,,
Ulmus Parvifolia,Ulmus_parvifolia,Tree,https://en.wikipedia.org/wiki/Ulmus_parvifolia,,
